Project Short Code,Species Code,Species Name,Commercial Species Group,Gear Code,Gear Description,Gear Group,Commercial Data Viewer,CPFV Species Group,CPFV Data Viewer
Statewide_SocEco,3,PACIFIC BONITO,PACIFIC BONITO,71,PURSE SEINE,SEINE/NET,No,COASTAL MIGRATORY,YES
Statewide_SocEco,3,PACIFIC BONITO,PACIFIC BONITO,73,DRUM SEINE,SEINE/NET,No,COASTAL MIGRATORY,YES
Statewide_SocEco,3,PACIFIC BONITO,PACIFIC BONITO,74,LAMPARA NET,SEINE/NET,No,COASTAL MIGRATORY,YES
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,0,UNKNOWN,MISC,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,1,HOOK & LINE,HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,3,Vertical Hook & Line/Portuguese Longline,HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,4,MOOCHING (SALMON),HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,5,SET LONGLINE,LONGLINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,6,JIG/BAIT (ALBACORE),HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,7,TROLL (ALBACORE),TROLL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,8,TROLL (GROUNDFISH OR OTHER FISH),TROLL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,9,TROLL (SALMON),TROLL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,12,HARPOON/SPEAR,HARPOON/SPEAR,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,18,DIVING,DIVING,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,27,CRAB OR LOBSTER TRAP,TRAP,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,56,BOTTOM TRAWL,BOTTOM TRAWL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,58,SINGLE-RIGGED TRAWL,BOTTOM TRAWL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,65,DRIFT GILL NET,GILL NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,66,SET GILL NET,GILL NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,71,PURSE SEINE,SEINE/NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,4,BLUEFIN TUNA,OTHER OFFSHORE PELAGICS,73,DRUM SEINE,SEINE/NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,0,UNKNOWN,MISC,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,1,HOOK & LINE,HOOK-LINE,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,3,Vertical Hook & Line/Portuguese Longline,HOOK-LINE,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,4,MOOCHING (SALMON),HOOK-LINE,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,5,SET LONGLINE,LONGLINE,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,6,JIG/BAIT (ALBACORE),HOOK-LINE,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,7,TROLL (ALBACORE),TROLL,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,8,TROLL (GROUNDFISH OR OTHER FISH),TROLL,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,9,TROLL (SALMON),TROLL,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,12,HARPOON/SPEAR,HARPOON/SPEAR,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,18,DIVING,DIVING,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,20,ENTRAPPING,TRAP,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,21,FISH TRAP,TRAP,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,22,PRAWN TRAP,TRAP,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,27,CRAB OR LOBSTER TRAP,TRAP,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,40,BRAIL/DIP NET OR A-FRAME,BRAIL/DIP NET,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,50,TRAWL NET,BOTTOM TRAWL,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,56,BOTTOM TRAWL,BOTTOM TRAWL,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,58,SINGLE-RIGGED TRAWL,BOTTOM TRAWL,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,59,DOUBLE-RIGGED TRAWL,BOTTOM TRAWL,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,65,DRIFT GILL NET,GILL NET,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,66,SET GILL NET,GILL NET,No,ALBACORE TUNA,YES
Statewide_SocEco,5,ALBACORE TUNA,ALBACORE TUNA,71,PURSE SEINE,SEINE/NET,No,ALBACORE TUNA,YES
